"","ein","fips","nteecc","filer","zfiler","name","address","city","zip5","state","ruledate","level1","level2","level3","nteefinal","cassets","ctotrev","year","address1","address_full","latitude","longitude","tract"
"22",43633843,42079,"I036","Y","Y","PENNSYLVANIA STATE CORRECTIONS OFFICERS ASSOCIATION","36 OLIVER ST","wilkes barre",18705,"PA",200510,"O","O","HS","I0360",NA,NA,2020,"36 OLIVER ST","36 OLIVER ST, wilkes barre, PA, 18705, USA",41.2579420121656,-75.8441090378184,"201500"
"23",43658800,42079,"S30","Y","N","PENNS NORTHEAST INC","1151 OAK ST","pittston",18640,"PA",200403,"PC","O","PB","S30",238433,238433,2020,"1151 OAK ST","1151 OAK ST, pittston, PA, 18640, USA",41.3072780199848,-75.7695639951944,"210100"
"24",43729982,42079,"T22","Y","N","PAUL D WASSEROTT FOUNDATION","358 ORANGE RD","dallas",18612,"PA",200302,"PF","S","ZC","T22",3188681,3188681,2020,"358 ORANGE RD","358 ORANGE RD, dallas, PA, 18612, USA",41.3865419902776,-75.898510020179,"211203"
"25",43782963,42079,"X21","N","N","RIVER OF LIFE FELLOWSHIP MINISTRIES INC","2016 STATE ROUTE 118","sweet valley",18656,"PA",200407,"PC","O","RE","X21",NA,NA,2020,"2016 STATE ROUTE 118","2016 STATE ROUTE 118, sweet valley, PA, 18656, USA",41.3108060049409,-76.12968098192,"215800"
"26",50556384,42079,"C30","Y","Y","FRIENDS OF THE NESCOPECK","PO BOX 912","conyngham",18219,"PA",200312,"PC","O","EN","C30",NA,NA,2020,"PO BOX 912","PO BOX 912, conyngham, PA, 18219, USA",40.9920492000001,-76.0600182,"216501"
"27",60665174,42079,"T20","Y","N","CALVIN K KAZANJIAN ECONOMICS FOUNDATION INC","PO BOX 300","dallas",18612,"PA",194901,"PF","S","ZC","T20",6893808,6893808,2020,"PO BOX 300","PO BOX 300, dallas, PA, 18612, USA",41.3376147000001,-75.9635705,"211201"
"28",61271475,42069,"X22","N","N","PRIESTLY FRATERNITY OF ST PETER INC","450 VENARD RD","s abingtn twp",18411,"PA",194603,"PC","O","RE","X22",NA,NA,2020,"450 VENARD RD","450 VENARD RD, s abingtn twp, PA, 18411, USA",41.4969041243517,-75.689170032389,"110403"
"29",61354895,42079,"N50","Y","Y","GOLD WING ROAD RIDERS ASSOCIATION","14 WOEKEL CIR","pelham",3076,"NH",198302,"O","O","HS","N50",NA,NA,2020,"14 WOEKEL CIR","14 WOEKEL CIR, pelham, PA, 3076, USA",42.7279730153866,-71.2814109918109,"200300"
"30",61409846,42079,"A23","Y","Y","NATIONAL SLOVAK SOCIETY OF THE USA","65 CHITTENDEN ST","duryea",18642,"PA",194108,"O","O","AR","A23",NA,NA,2020,"65 CHITTENDEN ST","65 CHITTENDEN ST, duryea, PA, 18642, USA",41.3495039946164,-75.7720400093924,"210500"
"31",61512796,42079,"T20","Y","N","FIRST FEDERAL CHARITABLE FOUNDATION","8 W BROAD ST STE 208","hazleton",18201,"PA",199901,"PF","S","ZC","T20",6018649,6018649,2020,"8 W BROAD ST STE 208","8 W BROAD ST STE 208, hazleton, PA, 18201, USA",40.9540399598903,-75.974275919831,"217400"
"32",61566158,42069,"X21","N","N","SALVATION APOSTOLIC TEMPLE","223 N MAIN AVE","scranton",18504,"PA",200304,"PC","O","RE","X21",NA,NA,2020,"223 N MAIN AVE","223 N MAIN AVE, scranton, PA, 18504, USA",41.4139797685221,-75.6785568032283,"101600"
"33",61694588,42079,"E32","Y","Y","WILKES-BARRE FREE CLINIC","35 S FRANKLIN ST","wilkes barre",18701,"PA",201903,"PC","O","HE","E32",NA,NA,2020,"35 S FRANKLIN ST","35 S FRANKLIN ST, wilkes barre, PA, 18701, USA",41.2466900196144,-75.8844870123474,"200100"
"34",113691495,42079,"A82","Y","Y","GREATER PITTSTON HISTORICAL SOCIETY","47 BROAD ST","pittston",18640,"PA",201410,"PC","O","AR","A82",NA,NA,2020,"47 BROAD ST","47 BROAD ST, pittston, PA, 18640, USA",41.3214710128128,-75.789038006118,"210800"
"35",113708498,42079,"B11","Y","Y","FOUNDATION FOR CHRISTIAN EDUCATION","1248 SAINT JOHNS RD","drums",18222,"PA",200411,"PC","S","ZA","B11",NA,NA,2020,"1248 SAINT JOHNS RD","1248 SAINT JOHNS RD, drums, PA, 18222, USA",41.0389569965373,-75.9669829606856,"216601"
"36",133163503,42079,"X99","Y","N","SHANTI TEMPLE","14 SHADYBROOK LN","dallas",18612,"PA",198309,"PC","O","RE","X99",235311,235311,2020,"14 SHADYBROOK LN","14 SHADYBROOK LN, dallas, PA, 18612, USA",41.3380820170688,-76.0078889951147,"211302"
"37",134208508,42069,"N68","Y","Y","MOUNTAIN SKI TRAINING INC","1367 MOUNT COBB RD","jefferson twp",18436,"PA",200509,"PC","O","HS","N68",NA,NA,2020,"1367 MOUNT COBB RD","1367 MOUNT COBB RD, jefferson twp, PA, 18436, USA",41.4139599918453,-75.4891810358917,"111801"
"39",136102755,42079,"T20","Y","N","DAVIDOWITZ FOUNDATION INC","LINE GROVE STREETS","nanticoke",18634,"PA",195904,"PF","S","ZC","T20",849067,849067,2020,"LINE GROVE STREETS","LINE GROVE STREETS, nanticoke, PA, 18634, USA",41.1968587198157,-76.0087532342407,"214100"
"41",137483658,42079,"T22","Y","N","BENCO FAMILY FOUNDATION","295 CENTERPOINT BLVD","pittston",18640,"PA",200512,"PF","S","ZC","T22",4469560,4469560,2020,"295 CENTERPOINT BLVD","295 CENTERPOINT BLVD, pittston, PA, 18640, USA",41.2936389871378,-75.7527619673651,"211701"
"42",141992514,42069,"A68","Y","Y","CLASSICAL GUITAR SOCIETY OF NORTHEASTERN PENNSYLVANIA","124 N SUMNER AVE","scranton",18504,"PA",201501,"PC","O","AR","A68",NA,NA,2020,"124 N SUMNER AVE","124 N SUMNER AVE, scranton, PA, 18504, USA",41.4146869962172,-75.6826490236831,"102000"
"44",150543962,42069,"B43","Y","N","CLARK SUMMIT UNIVERSITY","538 VENARD RD","s abingtn twp",18411,"PA",194011,"PC","O","ED","B43",13765609,13765609,2020,"538 VENARD RD","538 VENARD RD, s abingtn twp, PA, 18411, USA",41.4950020152586,-75.6854670195307,"110403"
"45",161615064,42079,"N68","Y","N","POCONO NORTHEAST YOUTH HOCKEY CLUB","38 COAL ST","wilkes barre",18702,"PA",201408,"PC","O","HS","N68",104523,104523,2020,"38 COAL ST","38 COAL ST, wilkes barre, PA, 18702, USA",41.2432442567761,-75.8742102401187,"201000"
"46",161720928,42079,"X20","Y","N","GOOD NEWS FOR LIFE INC","36 BRIARCREST RD","dallas",18612,"PA",200601,"PC","O","RE","X20",284309,284309,2020,"36 BRIARCREST RD","36 BRIARCREST RD, dallas, PA, 18612, USA",41.3454969838939,-76.0135130006883,"211302"
"47",161734997,42079,"B20","Y","N","PITTSTON AREA SD EDUCATIONAL IMPROVEMENT TAX CREDIT TAX EXEMPT","5 STOUT ST","yatesville",18640,"PA",200701,"PC","S","ED","B20",3292,3292,2020,"5 STOUT ST","5 STOUT ST, yatesville, PA, 18640, USA",41.3029680034625,-75.7944969720182,"211701"
"48",161774135,42079,"A23","Y","Y","WELSH CULTURAL ENDEAVOR OF NORTHEASTERN PENNSYLVANIA","10 SKYVIEW DR","dallas",18612,"PA",200708,"PC","O","AR","A23",1392,1392,2020,"10 SKYVIEW DR","10 SKYVIEW DR, dallas, PA, 18612, USA",41.3367039902772,-75.9557819720152,"211204"
"49",200158477,42079,"A82","Y","N","CONYNGHAM VALLEY HISTORICAL SOCIETY","PO BOX 131","conyngham",18219,"PA",200411,"PC","O","AR","A82",133328,133328,2020,"PO BOX 131","PO BOX 131, conyngham, PA, 18219, USA",40.9920492000001,-76.0600182,"216501"
"50",200251343,42069,"B11","Y","N","NEIU CORE CREATIVE OPPORTUNITIES REGARDING EDUCATION FOUNDATION","1200 LINE ST","archbald",18403,"PA",200404,"PC","S","ZA","B11",267109,267109,2020,"1200 LINE ST","1200 LINE ST, archbald, PA, 18403, USA",41.4888765927101,-75.5501120852827,"111100"
"51",200283537,42079,"L20","N","N","LUZERNE COUNTY HOUSING PARTNERSHIP INC","7 SOUTH MAIN STREET","wilkesbarre",18701,"PA",200612,"PC","O","HS","L20",NA,NA,2020,"7 SOUTH MAIN STREET","7 SOUTH MAIN STREET, wilkesbarre, PA, 18701, USA",41.2456189800266,-75.8832260388337,"200100"
"52",200430821,42069,"N50","Y","Y","ABINGTOM HEIGHTS ROBOTICS TEAM","166 N GRAVEL POND RD","clarks summit",18411,"PA",200508,"PC","O","HS","N50",NA,NA,2020,"166 N GRAVEL POND RD","166 N GRAVEL POND RD, clarks summit, PA, 18411, USA",41.5160485339757,-75.7258747824344,"110300"
"53",200664132,42069,"E11","Y","N","ST JOSEPHS CENTER AUXILIARY","2010 ADAMS AVE","scranton",18509,"PA",200405,"PC","S","ZA","E11",432257,432257,2020,"2010 ADAMS AVE","2010 ADAMS AVE, scranton, PA, 18509, USA",41.4307499916436,-75.6380309796138,"112000"
"54",200786000,42079,"P46","N","N","PASTORAL COUNSELING SERVICES OF NORTHEAST PENNSYLVANIA INC","143 W DIVISION ST","wilkes barre",18706,"PA",200411,"PC","O","HS","P46",NA,NA,2020,"143 W DIVISION ST","143 W DIVISION ST, wilkes barre, PA, 18706, USA",41.2328520003859,-75.9134329929545,"200400"
"55",201017221,42079,"E86","N","N","ELDER WISH FOUNDATION","PO BOX 1298","conyngham",18219,"PA",200410,"PC","O","HE","E86",NA,NA,2020,"PO BOX 1298","PO BOX 1298, conyngham, PA, 18219, USA",40.9920492000001,-76.0600182,"216501"
"56",201116575,42069,"G50","Y","N","ABINGTON AREA JOINT RECREATION BOARD","304 S STATE ST","clarks summit",18411,"PA",200903,"PC","O","HE","G50",1269033,1269033,2020,"304 S STATE ST","304 S STATE ST, clarks summit, PA, 18411, USA",41.4940759825958,-75.7034120036771,"110500"
"57",201235627,42079,"F80","Y","Y","NATIONAL ALLIANCE ON MENTAL ILLNESS LUZERNE-WYOMING COUNTIES","259 WYOMING AVENUE","kingston",18704,"PA",201701,"PC","O","HE","F80",NA,NA,2020,"259 WYOMING AVENUE","259 WYOMING AVENUE, kingston, PA, 18704, USA",41.2629997087008,-75.8958483433163,"213000"
"58",201281379,42079,"T20","Y","N","FRANK AND RITA KELLY FOUNDATION","1600 GREEN RIDGE ST","dunmore",18509,"PA",200410,"PF","S","ZC","T20",166911,166911,2020,"1600 GREEN RIDGE ST","1600 GREEN RIDGE ST, dunmore, PA, 18509, USA",41.422694982692,-75.6401260363125,"112200"
"59",201492898,42069,"O23","Y","N","BOYS AND GIRLS CLUB OF NORTHEASTERN PENNSYLVANIA FOUNDATION","609 ASH ST","scranton",18510,"PA",200702,"PC","S","HS","O23",2307180,2307180,2020,"609 ASH ST","609 ASH ST, scranton, PA, 18510, USA",41.41645100965,-75.6513069922343,"100600"
"60",201558700,42079,"L50","Y","Y","NEWPORT TOWNSHIP COMMUNITY ORGANIZATION","113 RAILROAD ST","nanticoke",18634,"PA",200706,"PC","O","HS","L50",30180,30180,2020,"113 RAILROAD ST","113 RAILROAD ST, nanticoke, PA, 18634, USA",41.1739299870906,-76.0377460047778,"215600"
"61",201652787,42079,"N52","Y","N","ST PATRICKS PARADE ASSOCIATION OF LACKAWANNA COUNTY INC","PO BOX 25","scranton",18501,"PA",200703,"PC","O","HS","N52",87843,87843,2020,"PO BOX 25","PO BOX 25, scranton, PA, 18501, USA",41.4089025000001,-75.6626275,"100200"
"62",201735559,42069,"X21","N","N","ST MATTHEWS UNITED EVANGELICAL LUTHERAN CHURCH","425 JEFFERSON AVE","scranton",18510,"PA",198804,"PC","O","RE","X21",NA,NA,2020,"425 JEFFERSON AVE","425 JEFFERSON AVE, scranton, PA, 18510, USA",41.4097340039023,-75.6581740340489,"100200"
"63",201776736,42069,"T20","Y","N","STOPPINI FOUNDATION","100 ELIZABETH ST","elmhurst twp",18444,"PA",200501,"PF","S","ZC","T20",276363,276363,2020,"100 ELIZABETH ST","100 ELIZABETH ST, elmhurst twp, PA, 18444, USA",41.3744489994712,-75.5467959752059,"111802"
"64",201852912,42069,"B84","Y","Y","UNIVERSITY OF PENNSYLVANIA ALUMNI CLUB OF NORTHEASTERN PENNSYLVANIA","425 SPRUCE STREET","scranton",18503,"PA",200703,"PC","O","ED","B84",NA,NA,2020,"425 SPRUCE STREET","425 SPRUCE STREET, scranton, PA, 18503, USA",41.4083419793324,-75.66399995967,"100200"
"65",201921004,42069,"P31","Y","N","ADOPT A BOXER RESCUE","18 HILLCREST DR","dickson city",18447,"PA",200505,"PC","O","HS","P31",252829,252829,2020,"18 HILLCREST DR","18 HILLCREST DR, dickson city, PA, 18447, USA",41.472201981336,-75.6112170198984,"111500"
"66",201960211,42069,"T20","Y","N","SABIA FAMILY FOUNDATION","402 WILLOW ST","dunmore",18512,"PA",200504,"PF","S","ZC","T20",826230,826230,2020,"402 WILLOW ST","402 WILLOW ST, dunmore, PA, 18512, USA",41.4202959981841,-75.6267399693032,"112100"
"68",202308617,42069,"T20","Y","N","NORTH PENN CHARITABLE FOUNDATION","111 LAKEVIEW TRL","sugarloaf",18249,"PA",200606,"PF","S","ZC","T20",295451,295451,2020,"111 LAKEVIEW TRL","111 LAKEVIEW TRL, sugarloaf, PA, 18249, USA",40.9923403269314,-76.0785982322907,"216502"
"69",202327477,42079,"C32","Y","Y","SUSKIE BASSMASTERS","304 VISTA DR","shavertown",18708,"PA",200507,"PC","O","EN","C32",NA,NA,2020,"304 VISTA DR","304 VISTA DR, shavertown, PA, 18708, USA",41.3025199907378,-75.9701880328218,"211301"
"70",202504404,42079,"N65","Y","Y","VALLEY CHIEFS MINI FOOTBALL INC","PO BOX 122","sybertsville",18251,"PA",200906,"PC","O","HS","N65",8383,8383,2020,"PO BOX 122","PO BOX 122, sybertsville, PA, 18251, USA",41.0019300000001,-76.07532,"216502"
"71",202601728,42069,"B24","Y","N","HOWARD GARDNER CHARTER SCHOOL FOUNDATION","1615 E ELM ST","scranton",18505,"PA",200602,"PC","O","ED","B24",16757,16757,2020,"1615 E ELM ST","1615 E ELM ST, scranton, PA, 18505, USA",41.3831650053073,-75.6482679656,"102800"
"72",202612550,42079,"S80","Y","Y","WEST HAZLETON LIONS CHARITIES INC","930 W 21ST ST","hazle townshp",18202,"PA",201404,"PC","O","PB","S80",NA,NA,2020,"930 W 21ST ST","930 W 21ST ST, hazle townshp, PA, 18202, USA",40.9703207418417,-75.9905653900827,"217002"
"73",202679617,42069,"N68","Y","N","NORTHEAST YOUTH HOCKEY ASSOCATION","207 VINE ST","old forge",18518,"PA",200703,"PC","O","HS","N68",3028,3028,2020,"207 VINE ST","207 VINE ST, old forge, PA, 18518, USA",41.3735740125988,-75.7338920402033,"112600"
"75",202737188,42069,"A52","Y","N","TIMMYS TOWN CENTER INC","55 IVYWOOD DR","clarks summit",18411,"PA",200512,"PC","O","AR","A52",23077,23077,2020,"55 IVYWOOD DR","55 IVYWOOD DR, clarks summit, PA, 18411, USA",41.4727120201442,-75.7278020008131,"112400"
"76",202896493,42079,"P20","Y","Y","LA CASA DOMINICANA DE HAZLETON INC","32 EAST BROAD ST","hazleton",18201,"PA",201405,"PC","O","HS","P20",NA,NA,2020,"32 EAST BROAD ST","32 EAST BROAD ST, hazleton, PA, 18201, USA",40.9581300108499,-75.992749014866,"217900"
"77",202975553,42079,"K25","Y","N","THE LANDS AT HILLSIDE FARMS","65 HILLSIDE RD","shavertown",18708,"PA",200707,"PC","O","HS","K25",9504636,9504636,2020,"65 HILLSIDE RD","65 HILLSIDE RD, shavertown, PA, 18708, USA",41.2987035060702,-75.9319439550949,"211400"
"78",203150066,42079,"T22","Y","N","NESBITT FAMILY CHARITABLE FOUNDATION","62 42ND ST","dallas",18612,"PA",200509,"PF","S","ZC","T22",1287257,1287257,2020,"62 42ND ST","62 42ND ST, dallas, PA, 18612, USA",41.3425709872239,-76.0085410233627,"211302"
"79",203222329,42079,"W70","Y","Y","TOASTMASTERS INTERNATIONAL","256 LAMPMAN ST","avoca",18641,"PA",194505,"PC","O","PB","W70",NA,NA,2020,"256 LAMPMAN ST","256 LAMPMAN ST, avoca, PA, 18641, USA",41.3346399885298,-75.7542240227359,"210300"
"80",203531527,42079,"E32","Y","N","VOLUNTEERS IN MEDICINE","190 N PENNSYLVANIA AVE","wilkes barre",18701,"PA",200610,"PC","O","HE","E32",1117223,1117223,2020,"190 N PENNSYLVANIA AVE","190 N PENNSYLVANIA AVE, wilkes barre, PA, 18701, USA",41.2468310032258,-75.8741259741942,"200100"
"81",203585461,42079,"M24","Y","N","VALLEY REGIONAL FIRE AND RESCUE INC","14 W BUTLER DR","drums",18222,"PA",200708,"PC","O","HS","M24",487452,487452,2020,"14 W BUTLER DR","14 W BUTLER DR, drums, PA, 18222, USA",41.0216409904052,-75.9650899916725,"216601"
"82",203738138,42079,"N64","Y","Y","OPPORTUNITY FOUNDATION INC","304 WILKES BARRE TOWNSHIP BLVD","wilkes barre",18702,"PA",200805,"PC","O","HS","N64",89,89,2020,"304 WILKES BARRE TOWNSHIP BLVD","304 WILKES BARRE TOWNSHIP BLVD, wilkes barre, PA, 18702, USA",41.2377056852887,-75.8628585734394,"215200"
"84",203843866,42079,"C32","N","N","SAVE US FROM FUTURE ENVIRONMENTAL RISK","531 S POPLAR ST","hazleton",18201,"PA",200710,"PC","O","EN","C32",NA,NA,2020,"531 S POPLAR ST","531 S POPLAR ST, hazleton, PA, 18201, USA",40.9387240190705,-75.9722529984881,"217300"
"85",203966014,42079,"J40","Y","Y","LAKE LEHMAN EDUCATION ASSOCIATION","1427 CHASE RD","shavertown",18708,"PA",201603,"O","O","HS","J40",NA,NA,2020,"1427 CHASE RD","1427 CHASE RD, shavertown, PA, 18708, USA",41.2813589960716,-75.9686650410149,"211301"
"86",204138622,42079,"S80","N","N","KIWANIS INTERNATIONAL INC","247 WYOMING AVE","kingston",18704,"PA",194007,"O","O","PB","S80",NA,NA,2020,"247 WYOMING AVE","247 WYOMING AVE, kingston, PA, 18704, USA",41.26277938303,-75.8960897453775,"213000"
"87",204181020,42069,"S20","Y","N","UNITED NEIGHBORHOOD COMMUNITY DEVELOPMENT CORPORATION","777 KEYSTONE INDUSTRIAL PARK","dunmore",18512,"PA",200611,"PC","O","PB","S20",3930188,3930188,2020,"777 KEYSTONE INDUSTRIAL PARK","777 KEYSTONE INDUSTRIAL PARK, dunmore, PA, 18512, USA",41.4377937683365,-75.6070597720596,"111700"
"88",204327559,42069,"A112","Y","Y","FRIENDS OF ARABESQUE","1913 LAYTON RD","scott twp",18447,"PA",200604,"PC","S","ZA","A1123",NA,NA,2020,"1913 LAYTON RD","1913 LAYTON RD, scott twp, PA, 18447, USA",41.5230609809622,-75.6198089735675,"110202"
"89",204459232,42069,"T31","Y","Y","SCOTT TOWNSHIP COMMUNITY PLAYGROUND FUND","ENTERPRISE LANE","scott twp",18447,"PA",200802,"PC","S","ZD","T31",NA,NA,2020,"ENTERPRISE LANE","ENTERPRISE LANE, scott twp, PA, 18447, USA",41.5535164402982,-75.6276923851253,"110202"
"90",204472148,42069,"L22","Y","N","ALLIED SERVICES CONTINUING CARERETIREMENT COMMUNITY","100 TERRACE LANE","scranton",18508,"PA",200706,"PC","S","HS","L22",48510,48510,2020,"100 TERRACE LANE","100 TERRACE LANE, scranton, PA, 18508, USA",41.4482737833769,-75.6795946509717,"101800"
"91",204798459,42079,"W99","Y","N","TRIANGLE 24 HOUR CLUB INC","9A CHEROKEE SQ","wilkes barre",18702,"PA",201409,"PC","O","PB","W99",849803,849803,2020,"9A CHEROKEE SQ","9A CHEROKEE SQ, wilkes barre, PA, 18702, USA",41.2445245594149,-75.836998268335,"215200"
"92",204864009,42069,"G19","Y","N","PARENTS LOVING CHILDREN THROUGHAUTISM FOUNDATION","1243 WYOMING AVE 3RD FL","scranton",18509,"PA",200707,"PC","O","HE","G19",18852,18852,2020,"1243 WYOMING AVE 3RD FL","1243 WYOMING AVE 3RD FL, scranton, PA, 18509, USA",41.4217130008255,-75.6509680280699,"100800"
"93",204872983,42069,"N50","Y","Y","PENNSYLVANIA STATE FOX & COYOTEHUNTERS ASSN INC","118 COMMERCE DR","scott twp",18447,"PA",200612,"O","O","HS","N50",NA,NA,2020,"118 COMMERCE DR","118 COMMERCE DR, scott twp, PA, 18447, USA",41.5313420079329,-75.6354910114945,"110202"
"94",204974788,42079,"S80","Y","Y","INTERNATIONAL ASSOCIATION OF LIONS CLUBS","200 SPRUCEWOOD DR","wilkes barre",18702,"PA",194012,"O","O","PB","S80",NA,NA,2020,"200 SPRUCEWOOD DR","200 SPRUCEWOOD DR, wilkes barre, PA, 18702, USA",41.2886489887203,-75.7923740035819,"211702"
"95",205049337,42069,"A32","N","N","SCRANTON TODAY COMMUNITY ACCESSTELEVISION","500 VINE ST","scranton",18509,"PA",200611,"PC","O","AR","A32",14154,14154,2020,"500 VINE ST","500 VINE ST, scranton, PA, 18509, USA",41.4110609849035,-75.6596070042158,"100200"
"96",205055533,42069,"N32","N","N","NAY AUG CONSERVANCY INC","PO BOX 463","scranton",18501,"PA",200707,"PC","O","HS","N32",NA,NA,2020,"PO BOX 463","PO BOX 463, scranton, PA, 18501, USA",41.4089025000001,-75.6626275,"100200"
